"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"ART DEVELOPMENT SERVICES LIMITED","5322095","Active","Private limited by guarantee without share capital","","","","64999","Faraday Wharf Holt Street Innovation Birmingham Campus Birmingham B7 4BB","B7 4BB","64","2004","12","29","","","","52.48882646666665","-1.8874950666666672",
"FIRST IN SERVICE LIMITED","886570","Active","Private limited company","","","","43210 43220 43290","Windsor Industrial Estate Rupert Street Birmingham B7 4PR","B7 4PR","43  ","1966","8","26","","","","52.4935526","-1.8787208",
"HAVANA SKY LTD","12355487","Active","Private limited company","","","","68209","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","68","2019","12","9","","","","52.497507413793095","-1.8711112068965519",
"NIMAB WELFARE TRUST","5323060","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","94910","Nimab Community Centre Great Francis Street Nechelles Birmingham B7 4QN","B7 4QN","94","2005","1","4","","","","52.4888869","-1.8733569",
"ANDFACTS LIMITED","12520129","Active","Private limited company","","","","62090","Icentrum Innovation Birmingham Holt Street Birmingham B7 4BB","B7 4BB","62","2020","3","17","","","","52.48882646666665","-1.8874950666666672",
"WS INVESTMENTS LIMITED","11773273","Active","Private limited company","","","","68100","Unit 12 Wing Yip Business Centre Thimble Mill Lane Birmingham B7 5HD","B7 5HD","68","2019","1","17","","","","52.497507413793095","-1.8711112068965519",
"DESIRABLE DRINKS LTD","11820093","Active","Private limited company","","","","46342","15 Bloomsbury Street Birmingham B7 5BX","B7 5BX","46","2019","2","11","","","","52.49409685714285","-1.8722298571428573",
"PARK LANE (2015) LIMITED","9916906","Active","Private limited company","","","","56301 56302 96090","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","56  96","2015","12","15","","","","52.49467","-1.879562",
"VITA LOREM LTD","11731273","Active","Private limited company","","","","86900","Ourroots Centre 19a Cato Street Birmingham B7 4TS","B7 4TS","86","2018","12","17","","","","52.4900914","-1.8693018000000001",
"DALE END LTD","11667363","Active","Private limited company","","","","68209","12 Phoenix Business Park Avenue Close Aston Birmingham B7 4NU","B7 4NU","68","2018","11","8","","","","52.49467","-1.879562",
"OPTIMAL ACCOMMODATION (OA) LIMITED","12526563","Active","Private limited company","","","","68209","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","68","2020","3","19","","","","52.49467","-1.879562",
"BIRMINGHAM AUTOGAS LIMITED","5601088","Active","Private limited company","","","","47300","13 Cuckoo Road Nechells Birmingham B7 5SY","B7 5SY","47","2005","10","24","","","","52.505826","-1.8622105999999998",
"BIRMINGHAM MUNICIPAL HOUSING LIMITED","7021056","Active","Private limited company","","","","84110","10 Woodcock Street Birmingham B7 4BL","B7 4BL","84","2009","9","16","","","","52.48709366666666","-1.886592",
"COLUMBIA SPECIAL PROCESSES LIMITED","7946256","Active","Private limited company","","","","25610","140 Cheston Road Aston Birmingham B7 5EH","B7 5EH","25","2012","2","10","","","","52.4977432","-1.8757279999999998",
"COLUMBIA PRECISION LIMITED","1621737","Active","Private limited company","","","","25620","140 Cheston Road Aston Birmingham B7 5EH","B7 5EH","25","1982","3","12","","","","52.4977432","-1.8757279999999998",
"SWIFT PERSONALISED PRODUCTS LIMITED","3030819","Active","Private limited company","","","","74909","Unit 10 24 Mainstream Way Mainstream 47 Industrial Park Devon Street B7 4SN","B7 4SN","74","1995","3","8","","","","52.490916355555555","-1.8665257055555555",
"KIXX STOURBRIDGE LTD","13390461","Active","Private limited company","","","","85510","Onyx House 12phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","85","2021","5","12","","","","52.49467","-1.879562",
"SINIBAD LIMITED","13801875","Active","Private limited company","","","","46900","22 Chadsmoor Terrace Birmingham B7 5AZ","B7 5AZ","46","2021","12","15","","","","52.495108599999995","-1.8738336",
"DIGBETH DINING CLUB CIC","13276485","Active","Private limited by guarantee without share capital","Community Interest Company (CIC)","","","56290","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","56","2021","3","18","","","","52.49467","-1.879562",
"TREXIMO LTD","9011292","Active","Private limited company","","","","82990","Innovation Birmingham Faraday Wharf Holt Street Birmingham B7 4BB","B7 4BB","82","2014","4","25","","","","52.48882646666665","-1.8874950666666672",
"PLANET EQUITY GROUP LTD","8633532","Active","Private limited company","","","","78109","Innovation Birmingham Faraday Wharf Holt Street Birmingham B7 4BB","B7 4BB","78","2013","8","1","","","","52.48882646666665","-1.8874950666666672",
"J2 EVENTS MANAGEMENT LTD","9743149","Active","Private limited company","","","","96090","Unit 12 Wing Yip Business Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","96","2015","8","21","","","","52.5029582","-1.8721261",
"HMM 101 LIMITED","13805935","Active","Private limited company","","","","56103","101 Nechells Park Road Birmingham B7 5PY","B7 5PY","56","2021","12","17","","","","52.500114","-1.865577",
"AUTOGRAPH MANAGEMENT LIMITED","9135061","Active","Private limited company","","","","96090","Unit 12 Wing Yip Business Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","96","2014","7","17","","","","52.5029582","-1.8721261",
"LALLA NURSERY LTD","11110666","Active","Private limited company","","","","85100","16 Windsor Street South Birmingham B7 4HY","B7 4HY","85","2017","12","13","","","","52.484604181818185","-1.880472363636364",
"BIRMINGHAM PRECISION ENGINEERING LIMITED","8332145","Active","Private limited company","","","","33110","Unit 7 Mainstream Industrial Park Mainstream Way Birmingham B7 4SN","B7 4SN","33","2012","12","14","","","","52.491257399999995","-1.8659811999999998",
"MAJESTIC-12 LTD","5269210","Active","Private limited company","","","","62020 63110","Faraday Wharf Holt Street Aston Science Park Birmingham B7 4BB","B7 4BB","62 63","2004","10","25","","","","52.48882646666665","-1.8874950666666672",
